hour,time,de_emsys_wind_onoff_da [in MW],de_emsys_wind_onoff_id [in MW],de_emsys_pv_da [in MW],de_emsys_pv_id [in MW],da h [in EUR/MWh],id_qh_p  [in EUR/MWh],id_h_p  [in EUR/MWh],rebap  [in EUR/MWh]
0,2021-01-01 00:00,4433.00,4709.00,0.00,0.00,50.87,44.41,48.68,13.33
0,2021-01-01 00:15,4286.00,4507.00,0.00,0.00,50.87,52.14,48.68,-0.92
0,2021-01-01 00:30,4142.00,4307.00,0.00,0.00,50.87,50.16,48.68,60.26
0,2021-01-01 00:45,3991.00,4181.00,0.00,0.00,50.87,41.34,48.68,-12.05
1,2021-01-01 01:00,3847.00,4094.00,0.00,0.00,48.19,64.42,46.17,96.09
1,2021-01-01 01:15,3728.00,3939.00,0.00,0.00,48.19,52.23,46.17,94.62
1,2021-01-01 01:30,3612.00,3705.00,0.00,0.00,48.19,45.80,46.17,92.21
1,2021-01-01 01:45,3508.00,3626.00,0.00,0.00,48.19,45.71,46.17,27.64
2,2021-01-01 02:00,3410.00,3585.00,0.00,0.00,44.68,65.53,53.73,13.71
2,2021-01-01 02:15,3303.00,3483.00,0.00,0.00,44.68,60.90,53.73,11.99
2,2021-01-01 02:30,3217.00,3361.00,0.00,0.00,44.68,55.71,53.73,4.31
2,2021-01-01 02:45,3137.00,3255.00,0.00,0.00,44.68,53.14,53.73,-3.01
3,2021-01-01 03:00,3056.00,3222.00,0.00,0.00,42.92,45.44,45.17,2.22
3,2021-01-01 03:15,3005.00,3173.00,0.00,0.00,42.92,40.15,45.17,4.63
3,2021-01-01 03:30,2954.00,3115.00,0.00,0.00,42.92,42.01,45.17,3.11
3,2021-01-01 03:45,2906.00,3028.00,0.00,0.00,42.92,43.64,45.17,1.01
4,2021-01-01 04:00,2858.00,2956.00,0.00,0.00,40.39,32.48,41.21,57.94
4,2021-01-01 04:15,2799.00,2840.00,0.00,0.00,40.39,40.38,41.21,50.74
4,2021-01-01 04:30,2741.00,2741.00,0.00,0.00,40.39,42.22,41.21,-16.54
4,2021-01-01 04:45,2682.00,2649.00,0.00,0.00,40.39,45.27,41.21,-43.00
5,2021-01-01 05:00,2623.00,2621.00,0.00,0.00,40.20,43.58,42.22,94.02
5,2021-01-01 05:15,2575.00,2588.00,0.00,0.00,40.20,42.01,42.22,-4.98
5,2021-01-01 05:30,2532.00,2638.00,0.00,0.00,40.20,44.11,42.22,23.62
5,2021-01-01 05:45,2485.00,2645.00,0.00,0.00,40.20,36.98,42.22,109.17
6,2021-01-01 06:00,2449.00,2533.00,0.00,0.00,39.63,34.25,42.31,44.42
6,2021-01-01 06:15,2420.00,2553.00,0.00,0.00,39.63,37.06,42.31,53.89
6,2021-01-01 06:30,2399.00,2477.00,0.00,0.00,39.63,43.36,42.31,109.17
6,2021-01-01 06:45,2383.00,2420.00,0.00,0.00,39.63,50.29,42.31,83.65
7,2021-01-01 07:00,2373.00,2377.00,0.00,0.00,40.09,30.33,43.15,62.65
7,2021-01-01 07:15,2376.00,2401.00,0.00,0.00,40.09,41.85,43.15,17.78
7,2021-01-01 07:30,2379.00,2365.00,0.00,0.00,40.09,48.74,43.15,24.77
7,2021-01-01 07:45,2388.00,2230.00,0.00,0.00,40.09,54.33,43.15,32.96
8,2021-01-01 08:00,2398.00,2158.00,5.00,6.00,41.27,43.96,46.84,13.25
8,2021-01-01 08:15,2417.00,2250.00,52.00,55.00,41.27,41.88,46.84,2.36
8,2021-01-01 08:30,2442.00,2291.00,185.00,183.00,41.27,44.68,46.84,0.46
8,2021-01-01 08:45,2460.00,2317.00,422.00,409.00,41.27,61.13,46.84,-11.59
9,2021-01-01 09:00,2477.00,2340.00,741.00,709.00,44.88,44.95,49.57,-48.59
9,2021-01-01 09:15,2508.00,2397.00,1088.00,1066.00,44.88,48.77,49.57,13.18
9,2021-01-01 09:30,2539.00,2372.00,1458.00,1473.00,44.88,49.31,49.57,13.33
9,2021-01-01 09:45,2570.00,2392.00,1835.00,1931.00,44.88,52.92,49.57,14.63
10,2021-01-01 10:00,2600.00,2389.00,2204.00,2337.00,45.00,44.33,48.45,-3.35
10,2021-01-01 10:15,2575.00,2390.00,2550.00,2691.00,45.00,49.04,48.45,2.64
10,2021-01-01 10:30,2551.00,2357.00,2873.00,3104.00,45.00,40.93,48.45,31.01
10,2021-01-01 10:45,2528.00,2397.00,3174.00,3394.00,45.00,49.66,48.45,14.32
11,2021-01-01 11:00,2502.00,2396.00,3447.00,3805.00,47.20,44.77,48.13,32.53
11,2021-01-01 11:15,2506.00,2301.00,3678.00,4173.00,47.20,51.08,48.13,36.44
11,2021-01-01 11:30,2535.00,2297.00,3854.00,4345.00,47.20,47.53,48.13,36.18
11,2021-01-01 11:45,2562.00,2320.00,3981.00,4548.00,47.20,44.61,48.13,24.72
12,2021-01-01 12:00,2602.00,2389.00,4071.00,4648.00,50.78,58.73,52.02,73.20
12,2021-01-01 12:15,2647.00,2314.00,4117.00,4911.00,50.78,57.54,52.02,72.80
12,2021-01-01 12:30,2726.00,2310.00,4100.00,4809.00,50.78,58.16,52.02,77.98
12,2021-01-01 12:45,2847.00,2380.00,4022.00,4856.00,50.78,54.92,52.02,70.30
13,2021-01-01 13:00,2968.00,2281.00,3905.00,4929.00,45.49,56.71,48.94,5.33
13,2021-01-01 13:15,3066.00,2333.00,3750.00,4642.00,45.49,51.07,48.94,62.78
13,2021-01-01 13:30,3147.00,2223.00,3547.00,4319.00,45.49,49.25,48.94,59.62
13,2021-01-01 13:45,3224.00,2314.00,3301.00,3916.00,45.49,42.67,48.94,56.98
14,2021-01-01 14:00,3297.00,2234.00,3018.00,3551.00,44.73,49.31,49.08,57.50
14,2021-01-01 14:15,3351.00,2201.00,2692.00,3114.00,44.73,45.71,49.08,66.12
14,2021-01-01 14:30,3408.00,2310.00,2328.00,2644.00,44.73,53.76,49.08,72.57
14,2021-01-01 14:45,3463.00,2396.00,1935.00,2200.00,44.73,57.47,49.08,69.71
15,2021-01-01 15:00,3512.00,2549.00,1525.00,1669.00,46.59,47.56,50.79,54.92
15,2021-01-01 15:15,3624.00,2449.00,1124.00,1153.00,46.59,50.16,50.79,67.35
15,2021-01-01 15:30,3733.00,2392.00,736.00,741.00,46.59,54.87,50.79,74.88
15,2021-01-01 15:45,3836.00,2426.00,397.00,385.00,46.59,59.17,50.79,75.22
16,2021-01-01 16:00,3946.00,2612.00,161.00,154.00,52.99,52.95,55.85,98.21
16,2021-01-01 16:15,4092.00,2800.00,39.00,35.00,52.99,62.23,55.85,74.36
16,2021-01-01 16:30,4236.00,3033.00,3.00,3.00,52.99,63.90,55.85,129.55
16,2021-01-01 16:45,4372.00,3260.00,0.00,0.00,52.99,67.16,55.85,32.09
17,2021-01-01 17:00,4499.00,3418.00,0.00,0.00,60.26,59.41,63.00,19.18
17,2021-01-01 17:15,4608.00,3586.00,0.00,0.00,60.26,61.40,63.00,31.80
17,2021-01-01 17:30,4694.00,3785.00,0.00,0.00,60.26,62.35,63.00,29.34
17,2021-01-01 17:45,4781.00,3865.00,0.00,0.00,60.26,61.51,63.00,27.46
18,2021-01-01 18:00,4859.00,3998.00,0.00,0.00,60.61,62.43,62.15,76.07
18,2021-01-01 18:15,4928.00,4065.00,0.00,0.00,60.61,61.33,62.15,69.57
18,2021-01-01 18:30,4971.00,4190.00,0.00,0.00,60.61,63.31,62.15,-30.30
18,2021-01-01 18:45,4988.00,4301.00,0.00,0.00,60.61,60.73,62.15,45.19
19,2021-01-01 19:00,4983.00,4470.00,0.00,0.00,60.36,71.16,62.97,11.64
19,2021-01-01 19:15,4979.00,4608.00,0.00,0.00,60.36,64.95,62.97,14.86
19,2021-01-01 19:30,4984.00,4679.00,0.00,0.00,60.36,59.63,62.97,14.47
19,2021-01-01 19:45,4998.00,4670.00,0.00,0.00,60.36,55.53,62.97,14.75
20,2021-01-01 20:00,5016.00,4677.00,0.00,0.00,57.40,65.57,59.78,1.72
20,2021-01-01 20:15,5035.00,4881.00,0.00,0.00,57.40,60.58,59.78,-2.05
20,2021-01-01 20:30,5058.00,5061.00,0.00,0.00,57.40,52.96,59.78,78.71
20,2021-01-01 20:45,5087.00,5083.00,0.00,0.00,57.40,49.66,59.78,52.01
21,2021-01-01 21:00,5117.00,4936.00,0.00,0.00,53.86,61.23,54.10,93.80
21,2021-01-01 21:15,5166.00,4877.00,0.00,0.00,53.86,56.88,54.10,71.75
21,2021-01-01 21:30,5216.00,4989.00,0.00,0.00,53.86,51.19,54.10,62.81
21,2021-01-01 21:45,5241.00,5041.00,0.00,0.00,53.86,45.91,54.10,1.55
22,2021-01-01 22:00,5217.00,5167.00,0.00,0.00,53.45,85.54,58.46,10.05
